station,load
SITAFAL MANDI  ,3
LATUR ROAD     ,30
BOLSA          ,6
SALANPUR       ,4
KASHI CHAK     ,2
TUMMANAMGUTTA  ,2
THANJAVUR      ,30
KONDAPURAM     ,18
SEWAPURI       ,11
VIKRAMNAGAR    ,4
HARDA          ,51
RAJENDRANAGAR  ,4
BAREILLY       ,164
KOPAI          ,2
CHHIPADOHAR    ,4
DHENKANAL      ,41
GOHPUR         ,2
NATHDWARA      ,6
PATAKOTTACHERU ,4
HOSPET JN      ,26
ASAFPUR        ,4
SHAHPUR PATOREE,11
BANDA JN       ,21
MULI ROAD      ,6
KUMTA          ,23
DHENGLI PP GOAN,4
MADHUPUR JN    ,109
TALCHER        ,11
DURGAPUR       ,130
BELHA          ,17
DUNDI          ,4
DHAURA         ,11
REJINAGAR      ,6
JORAWARNAGAR JN,17
MAMBALAM       ,20
LASERI         ,1
SHRIRAJNAGAR   ,4
BARWADIH JN    ,23
SARAI CHANDI   ,3
MANDI DIP      ,8
BEJNAL         ,2
ARJANSAR       ,4
KHAMGAON       ,1
GARIVIDI       ,2
VADGAON        ,3
BIGHAPUR       ,2
PARAMAKKUDI    ,16
ROTEGAON       ,26
LALBAGH CRT RD ,2
CHARAUD        ,1
DWARAPUDI      ,25
KHARAK         ,2
DUSI           ,2
NAMLI          ,4
BASTA          ,8
RAYAGADA       ,48
PUDUKKOTTAI    ,16
NILAKANTHESWAR ,2
TORANAGALLU    ,20
JAWAI BANDH    ,18
KAMALGANJ      ,2
MAJHAGAWAN     ,9
PALAKKODU      ,2
VAREDIYA       ,4
SEHORE         ,50
KOTLI KALAN    ,2
KHACHROD       ,31
KOPARIA        ,6
SERAMPORE      ,10
DIPHU          ,43
WASHERMANPET   ,2
JAORA          ,15
ATUL           ,2
AMMUGUDA       ,2
KAPASAN        ,9
KATRASGARH     ,14
PANCH PIPILA   ,4
MEJA ROAD      ,13
DANGOAPOSI     ,8
VARANASI CITY  ,27
BASUKINATH     ,2
MANDA ROAD     ,8
HANUMAN STATION,3
BHAVANI NAGAR  ,3
GOHAD ROAD     ,4
CHINNA SALEM   ,6
KHAIRAR JN     ,4
BUXAR          ,84
HAMSAVARAM     ,2
MARWAR MUNDWA  ,8
HAFIZPUR       ,2
KANTADIH       ,2
NAGINA         ,15
COIMBATORE NRTH,109
PUTALAPATTU    ,2
BASANTAPUR     ,2
CHANDLODIYA    ,15
AMBLI ROAD     ,4
SAREIGRAM      ,4
BAIYYAPPANAHALI,10
LAKSWA         ,2
KATHGODAM      ,16
DADRI          ,2
CHITRADURG     ,6
RINGAS JN      ,10
KASHIPUR       ,14
SIRKAZHI       ,26
ANKOLA         ,10
GANDHIPURAM HAL,4
JAJPUR K ROAD  ,93
BHATEL         ,4
HAPUR          ,62
GUWARIGHAT     ,7
RENGALI        ,15
FATEHGARH SAHIB,2
KAPURDHA HALT  ,2
MURARPUR       ,4
HALISAHAR      ,2
PANDAVAPURA    ,16
SIRPUR TOWN    ,3
NAVSARI        ,65
BARGI          ,9
BANSPANI       ,4
MURGAMAHADEV RD,2
UMDANAGAR      ,6
GANDHINAGAR JPR,52
HALDI ROAD     ,4
PAWAPURI ROAD H,7
SALAMATPUR     ,7
MADHIRA        ,31
NIDIGALLU      ,2
DENDULURU      ,3
USMANPUR       ,6
JETHI          ,2
MANGAON        ,15
MALUR          ,10
SANKOPARA      ,2
CHENNAI EGMORE ,87
PUNALUR        ,2
VAYALPAD       ,2
KURNOOL CITY   ,50
GARHI MANIKPUR ,10
ORAI           ,53
SINGHPUR       ,10
BARHIYA        ,51
GADIGANURU     ,3
SAINTHIA       ,39
KHIRKIYA       ,15
NAGORE         ,6
PHUSRO         ,8
