station,load
WIHIRGAON      ,2
AMARPURA RATHAN,2
KAKINADA TOWN  ,20
KANNAUJ        ,22
MAHWA          ,2
NENPUR         ,4
SONADANGA      ,4
BHATIYA        ,8
BYADGI         ,4
SARONA         ,2
PENUKONDA      ,12
RAMPARDA       ,4
DELANG         ,2
MOR            ,14
TUFANGANJ      ,2
JHARRADIH      ,4
SARKONI        ,1
RISHIKESH      ,4
TIRUCHRPLI PLKI,1
DHAUNI         ,2
GORINJA        ,2
BIBINAGAR      ,11
MEERUT CITY    ,54
GATORA         ,5
JHALAWAR ROAD  ,12
SANGOLA        ,11
C SHAHUMHARAJ T,27
DOLAJI KA KHERA,2
MIRYALAGUDA    ,30
MALLICKPUR HAT ,2
KHATIMA        ,2
GAUTAMDHARA    ,27
LINGAMGUNTLA   ,2
KAITHAL        ,2
THANA BIHPUR JN,19
ODDANCHATRAM   ,2
TIKUNIA        ,2
OKHA MADHI     ,2
ISMAILA HARYANA,1
BASSI PATHANAM ,2
ROHA           ,23
AGRA CITY      ,8
NARAINA        ,19
WYNDHAMGANJ    ,10
SIKARPAI       ,2
MORBI          ,4
ASOKHAR        ,2
NIVASAR        ,2
BIRUR JN       ,50
MUMBAI CST     ,101
ERRUPALEM      ,4
CHAMAGRAM      ,2
KOPA SAMHOTA   ,1
PATHANKOT      ,17
BAWAL          ,5
SITAPUR        ,3
PADSE          ,4
MARWAR LOHWAT  ,4
LUDHIANA JN    ,176
KOTTA PNDLPALLI,2
KHALILABAD     ,56
KODUMUDI       ,8
VALIVADE       ,9
RAIGIR         ,4
KARAILA ROAD JN,6
GIRIMAIDAN     ,2
ATRU           ,4
HALDIPADA      ,2
JOGAL          ,2
SONPUR JN      ,71
KUNDARA EAST   ,2
KOTTAPALLI     ,2
SUKNA          ,1
KANAKOT        ,3
CHUDA          ,4
KANNAPURAM     ,18
KHADKI         ,17
SUDAMDIH       ,2
CHAPARMUKH JN  ,31
ARJUNI         ,2
GOOTY          ,88
CHALAKUDI      ,36
GURNAY         ,2
PEDDAMPET      ,2
GONEANA B JAGTA,6
TUMSAR ROAD    ,30
BORTALAO       ,2
CHAJLI         ,3
KORAI HALT     ,2
NIVARI         ,8
BANDH BARETA   ,2
ATTILI         ,14
KAIRLA         ,2
MANOHARPUR     ,16
GUNA           ,50
PIPRAICH       ,5
UNCHI BASSI    ,1
NAYAGARH       ,4
SATTENAPALLE   ,26
BHIND          ,4
KURICHEDU      ,8
H SAHIB NANDED ,72
KAUKUNTLA      ,1
JARWAL ROAD    ,16
YERRAGUNTLA    ,42
SAMLAYA JN     ,4
JANKAMPET JN   ,5
UDAGAMANDALAM  ,4
GAHMAR         ,18
DESARI         ,9
SAMARALA HALT  ,3
SUDHRANA       ,2
CHACHER        ,2
THAMLA MOGANA  ,2
DOMINGARH      ,3
SHRI KARANPUR  ,2
RAMARAJU PALLI ,2
PARIAWAN K.K.RD,12
DUMRI HALT     ,8
ROBERTSON      ,4
BANAR          ,4
POKHRAYAN      ,25
AMGAON         ,14
BHULON         ,2
BAGEVADI RD    ,10
SULERJAVALGE   ,2
VEMULAPADU     ,2
SANAT NAGAR    ,10
SATHIN ROAD    ,4
PUNDOOAH       ,1
METUR DAM      ,2
MODPUR         ,2
EDAVAI         ,2
NILAMBUR ROAD  ,2
DHUANKHERI     ,1
BELLAMPALLI    ,37
PHANDA         ,3
KOTMI SONAN HLT,4
RAJABERA       ,3
LALITPUR       ,66
PURNIA JN      ,4
HARPALGANJ     ,4
GADARWARA      ,29
CHAUKHANDI     ,6
NEW DELHI      ,239
CHOTI KHATU    ,6
SODPUR         ,1
SON NAGAR      ,19
JAMGA          ,4
RAKHA MINES    ,6
BANSH BARIA    ,2
GAJRAULA JN    ,22
BARDDHAMAN JN  ,152
PHIRANGIPURAM  ,6
BEAS           ,78
KAHILIYA       ,2
DEOJHAR        ,2
SILIGURI       ,1
BHILAI         ,8
SIURI          ,20
FAQARSAR       ,1
UTARLAI        ,4
BAHJOI         ,3
VELLORE CANT   ,12
KOPARGAON      ,72
NIZAMABAD      ,41
SUJANPUR       ,6
JAKKALACHERUVU ,2
AMARPURA       ,2
JHUNPA         ,1
NABENAGAR ROAD ,12
YEDSHI         ,2
YESVANTPUR JN  ,143
MEKRA MEMERKHAB,1
BANO           ,8
SAGARDIGHI     ,4
VALATHOOR      ,2
KOSAD          ,4
PERUNGUZHI     ,2
CHABUA         ,2
BHALKI         ,14
WADAKANCHERI   ,31
NEW FARAKKA JN ,69
MAHMUDABAD AVDH,2
BHILAINAGAR    ,6
MEHNAR ROAD    ,5
MANDAMARI      ,2
SHEDBAL        ,2
SIVUNGAON      ,6
NARELA         ,12
DANISHPET      ,3
DAKANIYA TALAV ,9
NUDURUPADU     ,5
LAUL           ,2
VAIBHAVWADI RD ,8
AMALSAD        ,13
DUNGRI         ,7
MAIRWA         ,17
KURABALAKOTA   ,2
MUKUNDAWADI HA ,8
HOSHANGABAD    ,49
NARIAOLI       ,5
TANGRA         ,3
MARIAHU        ,7
SIRJAM         ,4
GADADHARPUR    ,2
KADAKOLA       ,2
PALASA         ,82
BHAIRONGARH    ,4
BEHULA         ,1
BHAGWANPURA    ,2
ADHIKARI       ,2
JAGATBELA      ,3
LALGOLA        ,10
AMBATURAI      ,2
MANABAR        ,2
TSAKIBANDA     ,2
LIMBDI         ,9
DIDWANA        ,8
LAKHAMANCHI    ,2
BEGU SARAI     ,50
AZIMGANJ CITY  ,2
JHALIDA        ,18
KHONGSARA      ,8
NALOI BARWA    ,1
GANGIWARA      ,3
SALEKASA       ,6
KURI           ,2
BANASWADI      ,37
KACHEGUDA      ,55
KALDHARI       ,4
SINDHUDURG     ,14
KISHENGARH BLWS,2
WASHIM         ,26
BHIGWAN        ,15
RAGHAVAPURAM   ,2
SHIVALINGAPURAM,2
BALOD          ,2
VALLIKUNNU     ,7
SIBSAGAR TOWN  ,6
GUNDRATIMADUGU ,2
TUVVUR         ,2
SONI           ,4
SINDRIBLOCK HUT,2
VADOD          ,4
BALE           ,2
HIWARKHED      ,4
SAMPLA         ,11
LAKHMAPUR      ,2
BHOJO          ,8
MODINAGAR      ,19
DAULATPUR HAT  ,2
GANKAR         ,2
UNCHAHAR JN    ,14
TELAPROLU      ,4
DHEKIAJILI ROAD,2
RANCHI         ,62
KOMATIPALLI    ,4
MALHARGARH     ,5
KUNTIGHAT      ,2
KOTABOMMALI    ,6
BAGHUAPAL      ,2
SUNAM          ,15
PASIVEDALA     ,4
KACHEWANI      ,2
SHAKURBASTI    ,31
DARLIPUT       ,2
NAYANDAHALLI   ,2
AKOLNER        ,6
RUPNARAYANPUR  ,8
GHANTIKHAL NDPR,2
NAGANAHALLI    ,4
KARBIGWAN      ,1
PILKHUA        ,31
WADWAL NAGNATH ,4
GOLDINGANJ     ,2
RAI SINGH NAGAR,2
DHURI JN       ,46
KANSHBAHAL     ,8
TILATI         ,2
BALLENAHALLI   ,2
DELHI KISHANGNJ,19
GURPA          ,2
GARH DHRUBESWAR,2
BANTHRA        ,4
BISALWAS KALAN ,1
IKKAR          ,1
LAKHABAWAL     ,4
UNCHAULIA      ,2
CHAU MAHLA     ,15
DUDDHINAGAR    ,10
DAURAI         ,2
PARMANANDPUR   ,2
SALICHAUKA ROAD,6
BILESHWAR      ,1
BELLARY CANT   ,5
HATKANAGALE    ,16
KOSAMBA JN     ,24
BARBATPUR      ,4
SANKARANKOVIL  ,2
BODDAVARA      ,2
BELGAUM        ,39
UTARSANDA      ,4
BANDANWARA     ,3
VIRAR          ,13
GEVRA ROAD     ,1
JOGBANI        ,4
MIRZAPUR       ,145
TAKLIMIYA      ,5
SANICHARA      ,4
SATNA          ,138
RAJGARH        ,19
JARANGDIH      ,2
LIDHORA KHURD  ,3
PRADHANKHUNTA  ,4
KANOH          ,3
BACHELI        ,2
PARADIP        ,4
UPLETA         ,2
TAMLUK         ,18
DAMOH          ,57
DHANBAD JN     ,102
FALAKATA       ,10
DHANETA        ,2
PUDUKAD        ,8
JAMNAGAR       ,47
ALGAWAN        ,2
THURIA         ,3
BISSAMCUTTACK  ,6
TISI           ,4
MAKHDUMPUR GAYA,7
SAMNAPUR       ,7
JALALGANJ      ,14
MURUKKAMPUZHA  ,4
BARH           ,60
SENDRA         ,7
BHAGA JN       ,2
DHIRERA        ,8
TUIYA PANI     ,4
A N DEV NAGAR  ,13
SACHIN         ,9
PANIAHWA       ,5
RAJA KA SAHASPR,13
KANHANGAD      ,40
MANDRAK        ,2
UMRI           ,18
LACHYAN        ,6
ULAVAPADU      ,2
BHIMANA        ,2
MIYANA         ,4
ATHMAL GOLA    ,18
SURATGARH JN   ,18
HATHURAN       ,4
JIMIDIPETA     ,4
RASULABAD      ,1
MUNUMAKA       ,4
RITHI          ,5
GODAMGURA      ,2
NARKATIAGANJ JN,18
CHHARODI       ,4
RANYAL JASMIYA ,2
GULABHGANJ     ,9
JAI SAMAND ROAD,2
ANANDPUR SAHIB ,10
NAGARSOL       ,28
PACHOR ROAD    ,10
GALGALIA       ,2
KONDAGUNTA     ,2
RAVALPALI KALAN,4
BANGARAPET     ,70
KALADEHI       ,5
BHOnra         ,4
ISLAMPUR       ,4
BASAI          ,5
MURARAI        ,15
MADHOPUR PUNJAB,4
DHAKA          ,4
CHAVAJ         ,2
NUMALIGARH     ,2
PAYYANUR       ,44
BELVANDI       ,6
SAMALPATTI     ,4
BOLAI          ,5
PAREWADI       ,2
KABAKAPUTTUR   ,6
BIJORA         ,3
KARAJGI        ,4
KANAKPURA      ,10
CHINNEKUNTAPALI,2
PENDURTI       ,6
EZHUKONE       ,2
NABHA          ,15
WANEGAON       ,5
MAKUM JN       ,2
NINGALA JN     ,6
AMBLIYASAN     ,2
SHIVRAMPUR     ,3
SHAHABAD       ,32
SAVALYAPURAM   ,5
DHANAPUR ORISSA,2
LANKA          ,24
MANIKPUR JN    ,81
RAIPUR JN      ,141
KARMAD         ,6
BALABHADRAPURAM,2
ASLANA         ,3
BOKAJAN        ,16
BHADRAVATI     ,10
BADKULLA       ,4
PONMLAI GLD RCK,3
NAGAR          ,4
NAVABPALEM     ,4
KUP            ,2
TANGLA         ,4
SANGAT         ,8
KHANDIP        ,2
TARIGOPPULA    ,3
ROHTAK JN      ,51
PATHRI         ,1
DHARESHWAR     ,2
RAMAKONA       ,6
SAUNSHI        ,2
KUSHTAUR       ,2
ADITYAPUR      ,10
BUDDIREDDIPPATI,2
NANDGANJ       ,1
KALAMBOLI      ,4
VALLIYUR       ,23
KHUMTAI        ,2
BARKISALALYA   ,3
HARANYA KHERI  ,4
KADIPUR        ,2
GAUTAMSTHAN    ,1
KHALTIPUR      ,4
ODDARAHALLI    ,2
KURGUNTA       ,8
BHIMALGONDI    ,6
MISROD         ,2
DHULGHAT       ,4
BORDHAL        ,3
DONAKONDA      ,18
LAMANA         ,2
WATHAR         ,7
N J RAMANAL    ,4
KHANDWA        ,125
SURA NUSSI     ,1
DARA           ,3
MAKSI          ,59
HASIMARA       ,10
GURIYA         ,2
SONALLI        ,4
WASHIMBE       ,2
HILSA          ,4
THADI          ,2
MAHUVA JN      ,2
BILDI          ,3
MASAIPET       ,2
AMETHI         ,47
VATVA          ,4
HAPA           ,54
SALEM JN       ,154
RAMAN          ,2
DALGAON        ,14
POSOTIA        ,4
DANKAUR        ,1
NAGOTHANE      ,4
KADAVAKUDURU   ,2
AMBUR          ,25
CHANDANATTOP   ,2
KARCHHA        ,4
SHIUPUR        ,1
KALOL          ,8
CHHANERA       ,10
PILI BANGAN    ,16
BAHRAICH       ,2
PALIBA         ,2
DADHAPARA      ,1
LABAN          ,2
PORJANPUR      ,2
AHMEDABAD MG   ,1
KHARIA KHANGARH,4
KARAKAVALASA   ,2
KUMARHATTI     ,5
CHANDUR BAZAR  ,4
POKLA          ,6
PALIA          ,2
RAJ NANDGAON   ,56
BARDI HALT     ,1
RANIWARA       ,8
MUL MARORA     ,2
BELDANGA       ,10
PANIKHAITI     ,2
BHAYANDAR      ,1
KUNDLI         ,2
BUNIADPUR      ,6
BAJRANGARH     ,2
TIHU           ,2
KUPPAM         ,25
BANDIKUI JN    ,59
PATHARKHOLA S  ,2
TANUR          ,18
KANTABANJI     ,32
BARABAMBO      ,6
ZAFARABAD JN   ,20
BADAMPUDI      ,4
BEKAL FORT     ,3
PUNSIA         ,2
NAGANSUR       ,2
KUNERU         ,4
VIRAMGAM JN    ,102
KAMARKUNDU     ,8
GHAGWAL        ,6
BALPUR HALT    ,1
KANTHI P H     ,14
PAKUR          ,47
KALGUPUR       ,2
SEOHARA        ,11
NADBAI         ,12
GUNERU BAMORI  ,2
KHUDIRAM B PUSA,16
SHRUNGAVARPUKTA,2
DEWAS          ,66
PONDURU        ,6
MANOHARGANJ    ,4
GURLA          ,7
KOLAD          ,4
TOMKA          ,2
LUCKNOW NR     ,239
CASTLE ROCK    ,15
VERKA JN       ,2
MARTUR         ,2
PARSOLI        ,1
SANAHWAL       ,4
GANGADHARA     ,5
TURKI ROAD     ,6
ROZA JN        ,20
TIKEKARWADI    ,3
MALUGUR        ,1
DHAULPUR       ,39
SRIRAMPURAM    ,2
BANKA GHAT     ,8
BHINWALIYA     ,2
RAIRAKHOL      ,27
LAMSAKHANG     ,2
MACHHAKUNDA    ,2
BEVINAHALU     ,4
BHARTHANA      ,18
NIHALGARH      ,36
DARJEELING     ,12
MANDAPADU      ,2
GHUTKU         ,8
RANOLI         ,4
KUMRABAD ROHINI,2
KALA AKHAR     ,2
KAMPUR         ,10
SINGARPUR      ,2
GIRIDIH        ,4
VIKHRAN ROAD   ,4
ALAI           ,2
GORAKHPUR JN   ,136
AGOMONI        ,2
SHAMLI         ,4
KUHURI         ,8
ASWAPURAM      ,2
LAHERIA SARAI  ,24
SEMAPUR        ,12
HADMATIYA JN   ,5
BIRADHWAL      ,6
MADANPUR       ,1
AHMEDABAD JN   ,255
GUMADA         ,4
KAIKALUR       ,25
KUMHARI        ,4
BASNI          ,4
BIJURI         ,15
GOSALPUR       ,8
KAMARBANDHA ALI,2
FURKATING JN   ,29
PACHORA JN     ,25
SARAGBUNDIA    ,1
CHIMIDIPALLI   ,2
PATTIKKAD      ,2
TIMTALA        ,2
VIKARABAD JN   ,44
BARAL          ,3
SHANKARGARH    ,21
HARIPPAD       ,20
DABPAL         ,2
MALKAPUR ROAD  ,2
KARABOH        ,2
CHAMARAJ       ,2
MAHABUBNAGAR TO,2
NAGPUR         ,243
DEHRADUN       ,36
NAKTISEMRA     ,2
MULTAI         ,23
HASSAN         ,16
TIRUPATTUR JN  ,26
GHATAKA VARANA ,2
ARSIKERE JN    ,62
RUNKHERA       ,6
SETTIHALLY     ,2
CHORGI         ,2
BARRACKPORE    ,12
RAJ GANGPUR    ,29
KHAIRTHAL      ,33
BANKATA        ,6
KHUSROPUR      ,38
FATEHGARH      ,10
VISHVAMITRI    ,7
MARKAPUR ROAD  ,20
PILER          ,10
SIHOR GUJARAT  ,14
BALURGHAT      ,6
BANDARUPALLE   ,2
PENDRA ROAD    ,47
IRINJALAKUDA   ,34
GANGRAR        ,2
KODAGANUR      ,2
KARNA          ,2
RISAMA         ,2
AMARGOL        ,2
RAVIKAMPADU    ,2
MANDIR HASAUD  ,3
MANDI ADAMPUR  ,2
KRISHNA        ,16
BANSKHO        ,2
PAKKI          ,2
CHANDRESAL     ,2
NORLA ROAD     ,18
CHAUNRAH       ,4
ANKAI          ,10
BADWASI        ,2
NIMAR KHERI    ,4
GAROT          ,9
GULBARGA       ,67
TALJHARI       ,4
KHAMBHALIYA    ,30
DUMRAON        ,32
DHARANGAON     ,10
TIMMANACHERLA  ,5
WANPARTI ROAD  ,6
JHILMILI       ,2
LINGANENIDODDI ,4
SURELI         ,2
MAINPURI       ,4
NEW BALARAMPUR ,1
ORGA           ,4
CHANDRAGIRI    ,4
DABILPUR       ,2
UNCHDIH        ,1
PULGAON JN     ,27
PLASSEY        ,10
NAVADE ROAD    ,4
KALSUR         ,2
JAKHAPURA      ,4
NOAMUNDI       ,4
ANJHI SHAHABAD ,15
BAGNAN         ,8
NAYA KHARADIA  ,2
BIRBANS        ,3
BANAS          ,2
VADLAMANNADU   ,6
DEPUR PH       ,2
TUKAITHAD      ,4
AUSA ROAD      ,2
ARIYALUR       ,27
GUDIVADA JN    ,31
AMBARI FALAKATA,2
DAUND JN       ,117
SRIKRISHN NAGAR,8
VISWANATH CHRLI,2
NIMBHORA       ,2
GULAOTHI       ,2
BHOJUDIH JN    ,10
BHABTA         ,4
OLD MALDA      ,2
MANGLIYA GAON  ,6
MAU AIMMA      ,4
P AVATAPALLE   ,4
TIRUCHRPALI TWN,2
JAGDALPUR      ,8
DEOTALA        ,2
KHATU          ,2
GUDIYATTAM     ,15
KHAPRI KHEDA   ,6
INDAPUR        ,4
LOVEDALE       ,4
CHITRAPUR (H)  ,2
CHINNARAVURU   ,4
FATEHNAGAR     ,9
BALAWALI       ,3
ONGOLE         ,152
SANKARPUR      ,4
NAYA NANGAL    ,2
PULICHERLA     ,2
KURUMURTHI     ,1
GHORPURI       ,6
DHANA KHERLI   ,2
GULLIPADU      ,2
BAR            ,2
MAHANAGAR      ,2
CHIT BARAGAON  ,2
BANTAWALA      ,6
HANUMANGARH JN ,16
DIGSAR         ,4
ERODE JN       ,162
CHAIBASA       ,6
JEONARA PH     ,3
BADNERA JN     ,92
VENKATAGIRI    ,18
BHAROLI        ,2
BARELIPUR      ,2
VILAD          ,6
SISARKA        ,2
MAKHU          ,6
BETAMCHERLA    ,14
SUKINDA ROAD   ,4
MAHENDRAGARH   ,12
HADAPSAR       ,8
LAGARGAWAN     ,2
KANJARI BORIYAV,10
RAMKOLA        ,2
MATHURA CANT   ,6
RECHNI ROAD    ,3
RANGAREDDY GUDA,1
YELGUR         ,2
SENCHOA JN     ,2
BAREJADI       ,9
SAI P NILAYAM  ,28
UNJHA          ,26
WADHWAN CITY   ,7
SHRIDHAM       ,25
TWINING GANJ   ,8
MIRZAPALLI     ,8
BHIMKHOJ       ,2
TIRUNNAVAYA    ,4
BARSOI JN      ,68
BINA MALKHEDI  ,20
SRIVAIKUNTAM   ,2
BAMLA          ,2
PALI A         ,1
NAWAGAON       ,5
BHADROLI       ,2
NAKKANADODDI   ,4
INDRABIL       ,4
HBL NAGAR      ,2
JAITSAR        ,2
CHALISGAON JN  ,45
MANTATTI       ,2
TIRORA         ,16
TALOJA PANCHAND,4
KAPSETI        ,6
ALWAR          ,60
VEER           ,8
ZANGALAPALLE   ,6
KHANNA BANJARI ,4
MURLIGANJ      ,2
BIR            ,1
NSC BOSE J GOMO,50
MAMANDURU      ,2
YERRAGUDIPAD   ,2
KOLANUKONDA    ,1
MAHE           ,26
BIRAMBAD       ,2
PATHSALA       ,2
KANDEL ROAD    ,2
BELAPUR        ,42
BILPUR         ,8
FIROZPUR CANT  ,18
DONKINAVALASA  ,4
CANCONA        ,10
DAGORI         ,1
SATROD         ,4
WANI           ,2
GULEDAGUDDA RD ,6
TIRUVALLA      ,63
TALEGAON       ,12
KANAS ROAD     ,2
HOSUR          ,21
SALAGAON       ,1
SARWARI        ,6
THALLAK        ,2
BISAPURKALAN   ,2
SBEWBABUDIH    ,2
TUTICORIN      ,10
RAMESWARAM     ,16
KRISHNA CANAL  ,9
SAKHUN         ,2
RAMANNAPETA    ,7
SONDHA ROAD    ,2
DIGHWARA       ,25
TEHTA          ,2
PAMAN          ,2
BITRAGUNTA     ,24
BHUCHCHU       ,8
SIWAN JN       ,61
KODI           ,6
CHITTAPUR      ,22
THAN JN        ,21
PICHKURIRDHAL  ,2
YAMUNA BDG AGRA,6
TILHAR         ,18
JANAKPUR ROAD  ,10
TAIABPUR       ,2
DHRANGDHRA     ,20
CHARKHI DADRI  ,6
LAKHEWALI      ,2
VIDYASAGAR     ,22
TARUR          ,6
MEGHPURTITODI  ,2
BARIWALA       ,2
VASCO DA GAMA  ,15
TIRUSULAM      ,2
CHEBROL        ,4
RAJA KI MANDI  ,55
MARAUDA        ,2
RASURIYA       ,3
KAKLUR         ,2
DHALPUKHURI    ,2
BETHUADAHARI   ,10
HOLE NARSIPUR  ,12
ADINA          ,2
GUDGERI        ,2
SURAT          ,267
LALGOPALGANJ   ,10
VIDURASWATTHA  ,2
RAJENDRA PUL   ,4
NAINPUR JN     ,9
KARHIYA BHADELI,3
AKIVIDU        ,25
KAMAKHYA       ,90
SUMRERI        ,3
SEORAPHULI     ,12
CLUTTERBUCKGANJ,4
LIMKHEDA       ,4
KALIYANGANJ    ,4
AMBIKA ROHINA  ,2
PARSA KHERA    ,2
PADNUR         ,2
KUMTHA KHURD   ,1
DAUDPUR        ,2
UGAR KHURD     ,4
SALAWAS        ,2
NABIPUR        ,10
BALAGHAT JN    ,7
CHAKSU         ,2
GORAYA         ,11
ABOHAR         ,17
SIRHIND JN     ,48
ADRA JN        ,44
SAFEDABAD      ,1
NARDANA        ,8
VAGDIYA        ,4
RAHIMATPUR     ,5
KULTI          ,13
PUTLACHERUVU   ,2
JAMA           ,2
TARAORI        ,6
JOGIGHOPA      ,2
RAMDEVRA       ,15
EKAMBARAKUPPAM ,8
AMARSAR        ,2
KRISHNAPUR     ,4
MANDI DABWALI  ,12
KOT KAPURA     ,14
KHANDERI       ,2
PANDHURNA      ,64
SARNATH        ,5
CHANGOTOLA     ,3
DATIA          ,34
MERALGRAM      ,4
MUSRA          ,2
GURUVAYUR      ,4
MANAPARAI      ,6
ARIGADA        ,1
MALLAPPA GATE H,4
BIKRAM SHILA   ,4
RANAPRATAPNAGAR,25
PIPLAJ         ,2
JAWAD ROAD     ,7
MOTICHUR       ,3
NIBHAPUR       ,1
KALKUND        ,4
SHRIGONDA ROAD ,8
KASHTI         ,5
POCHARAM       ,4
TANGARMUNDA    ,4
KAMALAPURAM    ,12
DANAULI PHLWRIA,2
NAGAON         ,2
JALIYA DEVANI  ,3
FATEHPUR       ,33
SHAMBHUPURA    ,4
KIRATGARH      ,2
BATASPUR       ,2
THAKURTOTA     ,2
FAKHRABAD      ,3
SOHAGPUR       ,15
MAU JN         ,49
PIPLIA         ,10
AMBALAPUZHA    ,20
SHAKTI NAGAR   ,4
GOMATI NAGAR   ,9
CHIKALTHAN     ,6
SIMURALI       ,1
BIRSINGHPUR    ,23
INTEKANNE      ,2
UPPALA         ,2
NARAYNPUR ANANT,2
POPHLAJ        ,2
JHARIA         ,1
GHADELA        ,4
CHHATNA        ,8
SAHELI         ,2
MAKARPURA      ,2
MEHSI          ,8
KURALI         ,2
MAHADANAPURAM  ,1
G.RAMACHANDRAPU,2
SHADHORAGAON   ,2
TALANDU        ,1
SAMBALPUR ROAD ,24
BIRAPATTI      ,1
JIRWAN         ,4
MOKALSAR       ,8
RAYALCHERUVU   ,6
ORR            ,2
UPPAL          ,2
MEMARI         ,1
PUNDI          ,2
KOTARLIA       ,4
CHUCHURA       ,8
PATHAULI       ,2
CHANGSARI      ,6
KURSELA        ,14
BARAMATI       ,2
